,dataset,cluster,Homogeneity,Completeness,V-measure,Adjusted Rand-Index,Silhouette Coefficient
0,DR_SVD_50,K-Means_5,0.3256656152071785,0.3606698596363026,0.34227510023995034,0.1909239593877371,0.10547677044954899
1,DR_SVD_50,Agglomerative_5,0.32396352383196353,0.40469401678229383,0.3598565648273712,0.14693118018900608,0.08185471723869296
2,DR_SVD_50,HDBSCAN_mcs100_ms5,0.0035074585954474827,0.044883979763884176,0.0065064691589341184,-0.001395445321023572,-0.1310051433181058
3,DR_SVD_50,HDBSCAN_mcs100_ms20,0.004508060901262008,0.057688411355512205,0.008362624510729505,-0.0011174043993808513,-0.14151530105676668
4,DR_SVD_50,HDBSCAN_mcs100_ms50,0.0031851264148665833,0.040759183796450674,0.005908530698704329,-0.0009682874805110121,-0.1439622948870945
5,DR_SVD_50,HDBSCAN_mcs200_ms5,0.006855704890240602,0.05185615087885239,0.012110346794943251,-0.0019883388853718063,-0.1157381620303808
6,DR_SVD_50,HDBSCAN_mcs200_ms20,0.005830481955333103,0.04410142455265001,0.01029932874754541,-0.0017940165185354494,-0.12395160709764978
7,DR_SVD_50,HDBSCAN_mcs200_ms50,0.005452957984855745,0.041245855316972155,0.009632446745026153,-0.0016122180464432237,-0.12426085024004091
8,DR_UMAP_50,K-Means_5,0.5304583113772825,0.5428496797148723,0.5365824662131402,0.467337767488703,0.5030657649040222
9,DR_UMAP_50,Agglomerative_5,0.5217317743311647,0.53878470395486,0.5301211349986144,0.4588735648510481,0.4981671869754791
10,DR_UMAP_50,HDBSCAN_mcs100_ms5,0.1785175443583024,0.6337816183399787,0.27857012135689907,0.09411014415380671,0.5458953976631165
11,DR_UMAP_50,HDBSCAN_mcs100_ms20,0.1785175443583024,0.6337816183399787,0.27857012135689907,0.09411014415380671,0.5458953976631165
12,DR_UMAP_50,HDBSCAN_mcs100_ms50,0.1785175443583024,0.6337816183399787,0.27857012135689907,0.09411014415380671,0.5458953976631165
13,DR_UMAP_50,HDBSCAN_mcs200_ms5,0.1785175443583024,0.6337816183399787,0.27857012135689907,0.09411014415380671,0.5458953976631165
14,DR_UMAP_50,HDBSCAN_mcs200_ms20,0.1785175443583024,0.6337816183399787,0.27857012135689907,0.09411014415380671,0.5458953976631165
15,DR_UMAP_50,HDBSCAN_mcs200_ms50,0.1785175443583024,0.6337816183399787,0.27857012135689907,0.09411014415380671,0.5458953976631165
16,DR_AE_50,K-Means_5,0.282758149326729,0.30761406459603974,0.2946628637350729,0.21284868676930738,0.11568950861692429
17,DR_AE_50,Agglomerative_5,0.26881594745303017,0.2800897690956533,0.27433708333285556,0.17667695768343544,0.054936256259679794
18,DR_AE_50,HDBSCAN_mcs100_ms5,0.0038585312537563793,0.04937655969387739,0.0071577222989702375,-0.0009923636497035382,-0.14357200264930725
19,DR_AE_50,HDBSCAN_mcs100_ms20,0.005284777569441645,0.06762784022349536,0.009803463485507515,-0.0009185818408877324,-0.1472949981689453
20,DR_AE_50,HDBSCAN_mcs100_ms50,0.005178358907514813,0.0662660299730128,0.009606052818233872,-0.0006739368958669027,-0.15373557806015015
21,DR_AE_50,HDBSCAN_mcs200_ms5,0.008440202072429539,0.06360761910633754,0.014902911700037226,-0.0014311752662051448,-0.12875305116176605
22,DR_AE_50,HDBSCAN_mcs200_ms20,0.00788330803128614,0.05962888094509214,0.013925569387641184,-0.0015932302060247025,-0.13261543214321136
23,DR_AE_50,HDBSCAN_mcs200_ms50,0.006836008107978857,0.051707165569661644,0.01207555316427315,-0.00134962025342112,-0.13275718688964844
24,DR_None,K-Means_5,0.3337460968159516,0.36974215767765983,0.350823204694593,0.1949576895574908,0.07198741689365974
25,DR_None,Agglomerative_5,0.35742372729628397,0.4140254665890646,0.3836481433561248,0.18855278251971858,0.05303648485600572
26,DR_None,HDBSCAN_mcs100_ms5,0.005753708808763433,0.07362862389167349,0.010673348778029038,-0.0018288163664890418,-0.1490013131589824
27,DR_None,HDBSCAN_mcs100_ms20,0.005856808370176955,0.07494796052879192,0.01086460238755344,-0.0014971865521274726,-0.15357220153598736
28,DR_None,HDBSCAN_mcs100_ms50,0.004871570118958078,0.06234013850411856,0.009036947941659698,-0.0012971990177056832,-0.1549290959357393
29,DR_None,HDBSCAN_mcs200_ms5,0.007138146430330957,0.05399252217135515,0.01260926923319774,-0.0021220617615107544,-0.13303648998247444
30,DR_None,HDBSCAN_mcs200_ms20,0.006668291472082165,0.050438566743546305,0.01177928798709472,-0.0017188731500706628,-0.1348984301667856
31,DR_None,HDBSCAN_mcs200_ms50,0.004947560207462228,0.03742305608364123,0.008739680435562938,-0.001625953931001303,-0.1372564957446717
