,dataset,cluster,Homogeneity,Completeness,V-measure,Adjusted Rand-Index,Silhouette Coefficient
0,DR_SVD_5,K-Means_10,0.26116165552420983,0.39429965676639667,0.3142090896985977,0.10439117425479906,0.25482701987242834
1,DR_SVD_5,K-Means_20,0.31529171169727255,0.34453356399075685,0.3292646739382199,0.12176613371412276,0.2065930698649986
2,DR_SVD_5,K-Means_50,0.3703423325734784,0.3019021655845787,0.332638355592133,0.09929373546846203,0.17664339721856115
3,DR_SVD_5,Agglomerative_20,0.3097651261630335,0.3358637453211198,0.3222869361583041,0.12004466638040963,0.13143368924064355
4,DR_SVD_5,HDBSCAN_100,0.0012656020255133746,0.07480089994988988,0.0024890896262698046,-1.8383106467147178e-05,-0.2272717082802855
5,DR_SVD_5,HDBSCAN_200,0.0034532081091251995,0.11620999224337027,0.006707112736314412,1.7320539915816767e-05,-0.27052944724809536
6,DR_SVD_20,K-Means_10,0.2533678289158203,0.4215288373347898,0.316498366881151,0.0760105744240009,0.1388832834503041
7,DR_SVD_20,K-Means_20,0.3451739693173178,0.39275201937227555,0.36742918818962117,0.12920602652290605,0.16745680358915632
8,DR_SVD_20,K-Means_50,0.44250038660132707,0.36511861449427363,0.40010234491729585,0.14959527487059548,0.11368906061017484
9,DR_SVD_20,Agglomerative_20,0.3675274869152992,0.42306493156645275,0.3933455152509796,0.1486744573478807,0.12481605034040288
10,DR_SVD_20,HDBSCAN_100,0.0006824703573883871,0.04033605817047174,0.0013422306954060169,-5.231063477528532e-06,-0.253961129419275
11,DR_SVD_20,HDBSCAN_200,0.0009330054862952,0.03139821201012245,0.0018121621351593073,6.022689664073743e-06,-0.25588497047761016
12,DR_SVD_200,K-Means_10,0.27035923886525265,0.42558126120535084,0.33065995108236995,0.1001629677706192,0.003813922500087387
13,DR_SVD_200,K-Means_20,0.33724000410902233,0.43504015620798075,0.37994746364310816,0.09992983273207566,0.018462444897847045
14,DR_SVD_200,K-Means_50,0.44052403124638617,0.39630123051333244,0.41724413358774665,0.12380170734117076,0.015934597023423897
15,DR_SVD_200,Agglomerative_20,0.3546058172423206,0.4926254843183667,0.41237348558608583,0.10796612244428887,0.019254632834781224
16,DR_SVD_200,HDBSCAN_100,0.000760335086093041,0.04493809867297454,0.0014953691106139486,3.8776408612416814e-05,-0.27807407387330674
17,DR_SVD_200,HDBSCAN_200,0.001526177452940131,0.051360087305340266,0.0029642708776922762,9.109686324647603e-05,-0.257761814156085
18,DR_NMF_5,K-Means_10,0.2202316223613116,0.3532082001752663,0.2713017544258743,0.07461836567030179,0.3020507025898255
19,DR_NMF_5,K-Means_20,0.2608374358008909,0.30246336800304885,0.2801123975000609,0.08140003765593594,0.27888321267391253
20,DR_NMF_5,K-Means_50,0.3064555075601528,0.25635302387539327,0.279174147719225,0.06886939626659505,0.24697828275847947
21,DR_NMF_5,Agglomerative_20,0.2595106103854567,0.3027012409634706,0.2794469153163124,0.08180622501837022,0.21334660896162164
22,DR_NMF_5,HDBSCAN_100,0.055546253616430764,0.26373022942315627,0.09176514393038934,0.024754434878306995,0.026554036631605778
23,DR_NMF_5,HDBSCAN_200,0.005416731718680566,0.18228798587286763,0.010520834294219327,8.874881605560173e-05,-0.2825289960883
24,DR_NMF_20,K-Means_10,0.23068710400802347,0.46285976768696396,0.3079122225973814,0.05249326399816908,0.17420899146955557
25,DR_NMF_20,K-Means_20,0.3101558704562955,0.3613415574703368,0.33379786914534787,0.10076320156839895,0.2281385317921904
26,DR_NMF_20,K-Means_50,0.41320698118488264,0.346292047359239,0.37680177622328853,0.13134671932673245,0.18059190221270072
27,DR_NMF_20,Agglomerative_20,0.35352350767904106,0.42659179881180104,0.38663573912282945,0.11694032522863407,0.17796861109065712
28,DR_NMF_20,HDBSCAN_100,0.0006350550397146095,0.03753366977197829,0.0012489778616013192,-2.620734334550785e-06,-0.3053296508652783
29,DR_NMF_20,HDBSCAN_200,0.0007890821379500846,0.02655479375489811,0.001532622040200165,2.113186289230839e-05,-0.30475351178510723
30,DR_UMAP_5,K-Means_10,0.47504091305806434,0.6529594711972265,0.549968719367458,0.34018894637502367,0.4387304186820984
31,DR_UMAP_5,K-Means_20,0.5742851007914042,0.5928265933611176,0.5834085659940667,0.4482929336294516,0.38320833444595337
32,DR_UMAP_5,K-Means_50,0.6255515797328921,0.49981646216612796,0.5556599545103874,0.38697627805506274,0.35278528928756714
33,DR_UMAP_5,Agglomerative_20,0.5624753991908984,0.5798586344351628,0.5710347538940146,0.43219886131264335,0.3651028871536255
34,DR_UMAP_5,HDBSCAN_100,0.005841507544089687,0.053649400452534406,0.01053584112372776,0.0011487179129058772,-0.030003154650330544
35,DR_UMAP_5,HDBSCAN_200,0.012296829667593571,0.10117247728296606,0.021928409604884392,0.0027978818870336296,0.0256781205534935
36,DR_UMAP_20,K-Means_10,0.47594793017771975,0.6535095293970743,0.5507715323515573,0.34236451705402965,0.43617862462997437
37,DR_UMAP_20,K-Means_20,0.5674060352909712,0.588279782443798,0.5776544003153569,0.43967656674750577,0.3774455487728119
38,DR_UMAP_20,K-Means_50,0.6228213023154849,0.49838073950080664,0.5536952835405308,0.3682644236408189,0.3256232738494873
39,DR_UMAP_20,Agglomerative_20,0.557539206909452,0.5802414149493582,0.5686638216396486,0.41903031912115296,0.365111380815506
40,DR_UMAP_20,HDBSCAN_100,0.005245616398375275,0.052570457312491096,0.00953936977206605,0.0008729214383782147,-0.029369907453656197
41,DR_UMAP_20,HDBSCAN_200,0.012836880916705064,0.0975705757565107,0.02268871867355546,0.003238793199168152,0.01967211440205574
42,DR_UMAP_200,K-Means_10,0.47628726668430604,0.6543783836342183,0.5513072615775206,0.3410665104555707,0.43437352776527405
43,DR_UMAP_200,K-Means_20,0.5757967524019446,0.5923011716943956,0.5839323640085016,0.4590439375224452,0.3692684471607208
44,DR_UMAP_200,K-Means_50,0.6287402863030567,0.5019827389927396,0.5582565561551602,0.3789420952210077,0.32062414288520813
45,DR_UMAP_200,Agglomerative_20,0.5567794193183957,0.5788120124097291,0.5675819791517356,0.4207178318586727,0.3581213355064392
46,DR_UMAP_200,HDBSCAN_100,0.006039009437458916,0.05324602857758145,0.010847703901468185,0.001243334631540515,-0.036342330276966095
47,DR_UMAP_200,HDBSCAN_200,0.012762040966561985,0.09901650302414068,0.022609932512001555,0.003244359541287393,0.020051605999469757
